Group Code,Client Code,Commodity Code,Market Code,Exchange,Exchange Instrument Code,Future/Option,Put/Call,Delivery Month/Year,Bought or Sold,Quantity,Trade Date,Transaction Currency,Transaction Base Currency,Transaction Currency Classification,Exercise Price,Trade Price,Current Price,Variation Margin Amount,Option P&L,Last day of trading (expiry date),Settlement Timing,Input Date,ASX Code,Instrument Type,Con Input Date,Client Deal Id,Portfolio Code,Pending Delivery Contract Flag,Delivery Date,Con Reference Number,Exercise Style,Tick Value,Tick Size,Contract Size,Executing Broker,Trading Venue,Badge Id,Delta,Broker Code,Commodity Name,Market Name,Exchange Instrument Code Reporting,Market Zone,Historic Value
G111500M,G1115000,FE3B,EEX,EE ,FEB            ,F, ,2504,S,5,10/4/2025,EUR,EUR,Segregated,                     ,13,16.24,-2721.6,                     ,17/04/25,C,14/04/25,      ,F,10/4/2025,0ECC                 , , ,        ,0413789598,A,0,0.01,1,ICP  ,BL,          ,1,MLOECCLT,EEX SPANISH POWER BASE WEEK 3 FUTURE                                   ,European Energy Exchange           ,FEB3           ,EUROPE  ,10920
G111500M,G1115000,FE4B,EEX,EE ,FEB            ,F, ,2504,S,12,8/4/2025,EUR,EUR,Segregated,                     ,30,21.97,16188.48,                     ,25/04/25,C,14/04/25,      ,F,8/4/2025,0ECC                 , , ,        ,0413194620,A,0,0.01,1,ICP  ,BL,          ,1,MLOECCLT,EEX SPANISH POWER BASE WEEK 4 FUTURE                                   ,European Energy Exchange           ,FEB4           ,EUROPE  ,60480
G111500M,G1115000,FE4B,EEX,EE ,FEB            ,F, ,2504,S,10,9/4/2025,EUR,EUR,Segregated,                     ,25,21.97,5090.4,                     ,25/04/25,C,14/04/25,      ,F,9/4/2025,0ECC                 , , ,        ,0413537641,A,0,0.01,1,CIMD ,BL,          ,1,MLOECCLT,EEX SPANISH POWER BASE WEEK 4 FUTURE                                   ,European Energy Exchange           ,FEB4           ,EUROPE  ,42000
G111500M,G1115000,FE4B,EEX,EE ,FEB            ,F, ,2504,S,3,10/4/2025,EUR,EUR,Segregated,                     ,23,21.97,519.12,                     ,25/04/25,C,14/04/25,      ,F,10/4/2025,0ECC                 , , ,        ,0413782195,A,0,0.01,1,CIMD ,BL,          ,1,MLOECCLT,EEX SPANISH POWER BASE WEEK 4 FUTURE                                   ,European Energy Exchange           ,FEB4           ,EUROPE  ,11592
G111500M,G1115000,FE4B,EEX,EE ,FEB            ,F, ,2504,S,10,10/4/2025,EUR,EUR,Segregated,                     ,23,21.97,1730.4,                     ,25/04/25,C,14/04/25,      ,F,10/4/2025,0ECC                 , , ,        ,0413835514,A,0,0.01,1,CIMD ,BL,          ,1,MLOECCLT,EEX SPANISH POWER BASE WEEK 4 FUTURE                                   ,European Energy Exchange           ,FEB4           ,EUROPE  ,38640
G111500M,G1115000,FEBM,EEX,EE ,FEB            ,F, ,2504,S,5,31/03/25,EUR,EUR,Segregated,                     ,32.85,24.98,28332,                     ,29/04/25,C,14/04/25,      ,F,31/03/25,0ECC                 , , ,        ,0411888670,A,0,0.01,1,ICP  ,BL,          ,1,MLOECCLT,EEX SPANISH POWER BASE MONTH FUTURE                                    ,European Energy Exchange           ,FEBM           ,EUROPE  ,118260
G111500M,G1115000,FEBM,EEX,EE ,FEB            ,F, ,2504,S,2,31/03/25,EUR,EUR,Segregated,                     ,32.85,24.98,11332.8,                     ,29/04/25,C,14/04/25,      ,F,31/03/25,0ECC                 , , ,        ,0411888683,A,0,0.01,1,ICP  ,BL,          ,1,MLOECCLT,EEX SPANISH POWER BASE MONTH FUTURE                                    ,European Energy Exchange           ,FEBM           ,EUROPE  ,47304
G111500M,G1115000,FEBM,EEX,EE ,FEB            ,F, ,2504,S,3,31/03/25,EUR,EUR,Segregated,                     ,32.85,24.98,16999.2,                     ,29/04/25,C,14/04/25,      ,F,31/03/25,0ECC                 , , ,        ,0411889916,A,0,0.01,1,ICP  ,BL,          ,1,MLOECCLT,EEX SPANISH POWER BASE MONTH FUTURE                                    ,European Energy Exchange           ,FEBM           ,EUROPE  ,70956
G111500M,G1115000,EUSD,CME,02 ,EC             ,F, ,2505,B,1,7/4/2025,USD,USD,Segregated,                     ,1.1033,1.13775,4306.25,                     ,19/05/25,C,14/04/25,      ,F,7/4/2025,88843:M:589730TN00000, , ,        ,0412904933,A,0.125,0.000001,125000,TTR  ,GX,6P4L      ,1,CHGLOAVA,CME Euro FX                                                            ,Chicago Mercantile Exchange        ,EC             ,USA     ,-137912.5
G111500M,G1115000,EUSD,CME,02 ,EC             ,F, ,2505,B,1,7/4/2025,USD,USD,Segregated,                     ,1.10319,1.13775,4320,                     ,19/05/25,C,14/04/25,      ,F,7/4/2025,88843:M:590107TN00000, , ,        ,0412904948,A,0.125,0.000001,125000,TTR  ,GS,6P4L      ,1,CHGLOAVA,CME Euro FX                                                            ,Chicago Mercantile Exchange        ,EC             ,USA     ,-137898.75
G111500M,G1115000,EUSD,CME,02 ,EC             ,F, ,2505,B,4,7/4/2025,USD,USD,Segregated,                     ,1.10305,1.13775,17350,                     ,19/05/25,C,14/04/25,      ,F,7/4/2025,88843:M:590608TN00000, , ,        ,0412904960,A,0.125,0.000001,125000,TTR  ,GS,6P4L      ,1,CHGLOAVA,CME Euro FX                                                            ,Chicago Mercantile Exchange        ,EC             ,USA     ,-551525
G111500M,G1115001,DWB3,EEX,EE ,DWB            ,F, ,2504,S,10,14/04/25,EUR,EUR,Segregated,                     ,55.8,58.39,-1243.2,                     ,17/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414151253,A,0,0.01,1,ICP  ,BL,          ,1,MLOECCLT,EEX GERMAN POWER BASE WEEKEND 3 FUTURE                                 ,European Energy Exchange           ,DWB3           ,EUROPE  ,26784
G111500M,G1115001,FD15,EEX,EE ,FD1            ,F, ,2504,B,25,14/04/25,EUR,EUR,Segregated,                     ,105.5,109.44,2364,                     ,14/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414160330,A,0,0.01,1,CIMD ,BL,          ,1,MLOECCLT,EEX ITALIAN POWER BASE DAY 15 FUTURE                                   ,European Energy Exchange           ,FD15           ,EUROPE  ,-63300
G111500M,G1115001,FD15,EEX,EE ,FD1            ,F, ,2504,B,10,14/04/25,EUR,EUR,Segregated,                     ,106,109.44,825.6,                     ,14/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414160396,A,0,0.01,1,GFI  ,BL,          ,1,MLOECCLT,EEX ITALIAN POWER BASE DAY 15 FUTURE                                   ,European Energy Exchange           ,FD15           ,EUROPE  ,-25440
G111500M,G1115001,FD15,EEX,EE ,FD1            ,F, ,2504,B,25,14/04/25,EUR,EUR,Segregated,                     ,106,109.44,2064,                     ,14/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414163477,A,0,0.01,1,CIMD ,BL,          ,1,MLOECCLT,EEX ITALIAN POWER BASE DAY 15 FUTURE                                   ,European Energy Exchange           ,FD15           ,EUROPE  ,-63600
G111500M,G1115001,G3BM,PWX,PN ,G3B            ,F, ,2509,B,3,14/04/25,EUR,EUR,Segregated,                     ,34.84,35.45,1317.6,                     ,28/08/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414154803,A,0,0.001,1,TTR  ,EL,          ,1,MLOECCLT,EEX TTF NATURAL GAS MONTH                                              ,Powernext Exchange                 ,G3BM           ,EUROPE  ,-75254.4
